Category,Name,Other Name(s),Description,Convention,Units,Invalid Channel Criteria
Wind Motions,,,,,,
,WindVxi,uWind,Nominally downwind component of the hub-height wind velocity,Directed along the xi-axis                         ,(m/s),.NOT. CompAero
,WindVyi,vWind,Cross-wind component of the hub-height wind velocity,Directed along the yi-axis                         ,(m/s),.NOT. CompAero
,WindVzi,wWind,Vertical component of the hub-height wind velocity,Directed along the zi-axis                         ,(m/s),.NOT. CompAero
,TotWindV,                                ,Total hub-height wind velocity magnitude,N/A                                                ,(m/s),.NOT. CompAero
,HorWindV,                                ,Horizontal hub-height wind velocity magnitude,In the xi- and yi-plane                            ,(m/s),.NOT. CompAero
,HorWndDir,                                ,"Horizontal hub-height wind direction.  Please note that FAST  uses the opposite sign convention that AeroDyn uses.  Put a ""-"", ""_"", ""m"", or ""M"" character in front of this variable name if you want to use the AeroDyn convention.",About the zi-axis                                  ,(deg),.NOT. CompAero
,VerWndDir,                                ,Vertical hub-height wind direction,About an axis orthogonal to the zi-axis and the HorWindV-vector,(deg),.NOT. CompAero
Blade 1 Tip Motions,,,,,,
,TipDxc1,OoPDefl1,Blade 1 out-of-plane tip deflection (relative to the undeflected position),Directed along the xc1-axis,(m),
,TipDyc1,IPDefl1,Blade 1 in-plane tip deflection (relative to the undeflected position),Directed along the yc1-axis,(m),
,TipDzc1,TipDzb1,Blade 1 axial tip deflection (relative to the undeflected position),Directed along the zc1- and zb1-axes,(m),
,TipDxb1,,Blade 1 flapwise tip deflection (relative to the undeflected position),Directed along the xb1-axis,(m),
,TipDyb1,,Blade 1 edgewise tip deflection (relative to the undeflected position),Directed along the yb1-axis,(m),
,TipALxb1,,Blade 1 local flapwise tip acceleration (absolute),Directed along the local xb1-axis,(m/s^2),
,TipALyb1,,Blade 1 local edgewise tip acceleration (absolute),Directed along the local yb1-axis,(m/s^2),
,TipALzb1,,Blade 1 local axial tip acceleration (absolute),Directed along the local zb1-axis,(m/s^2),
,TipRDxb1,RollDefl1,"Blade 1 roll (angular/rotational) tip deflection (relative to the undeflected position). In ADAMS, it is output as an Euler angle computed as the 3rd rotation in the yaw-pitch-roll rotation sequence. It is not output as an Euler angle in FAST, which assumes small blade deflections, so that the rotation sequence does not matter.",About the xb1-axis,(deg),
,TipRDyb1,PtchDefl1,"Blade 1 pitch (angular/rotational) tip deflection (relative to the undeflected position). In ADAMS, it is output as an Euler angle computed as the 2nd rotation in the yaw-pitch-roll rotation sequence. It is not output as an Euler angle in FAST, which assumes small blade deflections, so that the rotation sequence does not matter.",About the yb1-axis,(deg),
,TipRDzc1,"TipRDzb1, TwstDefl1","Blade 1 torsional tip deflection (relative to the undeflected position). This output will always be zero for FAST simulation results. Use it for examining blade torsional deflections of ADAMS simulations run using ADAMS datasets created using the FAST-to-ADAMS preprocessor. In ADAMS, it is output as an Euler angle computed as the 1st rotation in the yaw-pitch-roll rotation sequence.  Please note that this output uses the opposite of the sign convention used for blade pitch angles.",About the zc1- and zb1-axes,(deg),
